bound,theta12,theta21,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,parameter_source,L_1,L_2,L,W_1,W_2,W,Q_boundary,P_hit_boundary
1,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.0,0.0,0.0,0.6666666666666666,0.599999999988,0.6444444444404445,1.0,1.3333333333333333
2,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.3076923076923077,0.2582417582385793,0.565934065930887,0.9486575439834865,1.2384827326087484,1.045265940191907,0.6080586080554998,1.074306645734107
3,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.5116883210704043,0.5164375950293429,1.0281259160997471,1.2703294058707189,1.6798302987180032,1.4068297034864803,0.3616016229769169,0.44418571943144713
4,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.6405402963178856,0.7185201154241223,1.359060411742008,1.5216074487444793,1.9773224156292846,1.6735124377060808,0.22820839600791767,0.2468589760617537
5,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7119356118949274,0.860288516571631,1.5722241284665583,1.672301126168067,2.145548592869127,1.8300502817350868,0.14896233123186678,0.1387494654748244
6,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7487938213327806,0.9549785991704408,1.703772420503221,1.7466619135837633,2.2263314374533736,1.9065517548736333,0.09830202114014978,0.07977339942229232
7,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7672354066844239,1.0169266178245,1.7841620245089234,1.7762335553170647,2.25811320627155,1.9368601056352261,0.0648896455371088,0.0469809698887544
8,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.77638999762921,1.0571160120660406,1.8335060096952505,1.7835274017791751,2.2660550558685677,1.944369953142306,0.04266581152210547,0.028186500632224387
9,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7809719677633765,1.0830960095680398,1.864067977331416,1.781413638640447,2.264036860507716,1.9422880459295366,0.027903375089527668,0.01711722644589076
10,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7833129788138135,1.0998556674800248,1.8831686462938382,1.7763040880025427,2.258851283801988,1.9371531532690245,0.018146483091253694,0.01047056336582005
11,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7845448774758149,1.110646650106688,1.8951915275825026,1.7710068679582538,2.2534449518323423,1.9318195625829497,0.011737605305107965,0.006430819271255365
12,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7852157487105342,1.117579342823785,1.9027950915343184,1.7665366642221627,2.24887788891529,1.9273170724532052,0.0075541873468839005,0.003958090937536679
13,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7855939328982519,1.1220219629160688,1.9076158958143221,1.7631034859892312,2.245370612931118,1.92385919496986,0.0048395985953296125,0.002438598543179607
14,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7858138325622321,1.1248609588942788,1.9106747914565125,1.760603677913672,2.2428180260021353,1.9213417939431596,0.003087694299906732,0.0015029657649940867
15,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7859449588931474,1.1266699074383553,1.9126148663315028,1.7588440399625909,2.2410223154254703,1.9195701317835505,0.001962637843874145,0.0009262992188352284
16,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7860246367905064,1.1278191712162315,1.9138438080067361,1.7576337324700508,2.2397880011895803,1.9183518220432272,0.0012433351024164257,0.0005707620755009283
17,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.786073689692689,1.1285472485017591,1.914620938194452,1.7568150516100218,2.238953635395472,1.9175279128718385,0.000785276397186006,0.0003515672977049452
18,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7861041445695287,1.1290072455291298,1.9151113900986572,1.7562682085278203,2.238396681201616,1.9169776994190855,0.0004946192784719411,0.00021646242762831975
19,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7861231475386118,1.1292971273845178,1.9154202749231275,1.755906520423853,2.2380285410168295,1.9166138606215117,0.00031077531861204094,0.00013321776010928146
20,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7861350357012246,1.1294793700152075,1.9156144057164308,1.7556691857876439,2.2377871217017593,1.9163751644256823,0.0001948266768503834,8.194838111588831e-05
21,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7861424802664112,1.1295936886841416,1.915736168950555,1.7555144670360079,2.2376298333427704,1.9162195891382618,0.00012188895877758991,5.0386640791720977e-05
22,3,1,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,paper_text_default,0.7861471420030943,1.1296652528479654,1.91581239485106,1.7554141614849084,2.2375279196046693,1.9161187475248287,7.61152439525646e-05,3.0966236909695035e-05
