time,class_0,class_1,total,scenario
0.0,0,0,0,stable_like
4.018589872711066,1,0,1,stable_like
4.617874497138694,0,0,0,stable_like
5.564928425123918,1,0,1,stable_like
6.345530246587957,2,0,2,stable_like
6.669231981364608,1,1,2,stable_like
8.23664393747066,2,1,3,stable_like
8.587926488430327,1,2,3,stable_like
8.628018120313284,0,2,2,stable_like
8.951676101570563,1,2,3,stable_like
9.997711421925105,2,1,3,stable_like
11.159952725684489,1,2,3,stable_like
11.35680629908374,2,1,3,stable_like
11.531230298527209,3,0,3,stable_like
12.011161478819663,2,1,3,stable_like
12.541039402417955,3,1,4,stable_like
12.676747765188177,2,2,4,stable_like
12.77028333201963,3,2,5,stable_like
12.860504065532961,2,3,5,stable_like
13.163123697138765,3,2,5,stable_like
13.242226042453318,2,3,5,stable_like
13.246212608269888,3,2,5,stable_like
13.397097907518482,2,3,5,stable_like
13.487219951293449,1,4,5,stable_like
14.282841380868126,2,3,5,stable_like
14.289911989632847,1,4,5,stable_like
15.031996340750744,2,3,5,stable_like
15.247004943568584,3,2,5,stable_like
15.286429731047265,2,3,5,stable_like
15.561823529827514,3,2,5,stable_like
15.562395266242698,2,3,5,stable_like
16.11804686972878,1,4,5,stable_like
16.2427799677381,2,3,5,stable_like
16.25989411452794,3,2,5,stable_like
16.38257797875579,2,3,5,stable_like
16.389511597107024,3,2,5,stable_like
16.456566811316097,2,3,5,stable_like
16.495531245488216,1,4,5,stable_like
16.768148600907875,2,3,5,stable_like
17.075679771702923,1,3,4,stable_like
17.294764598039688,2,2,4,stable_like
17.59184065304639,1,3,4,stable_like
17.675706964818072,2,2,4,stable_like
17.868578357330733,1,3,4,stable_like
18.044525701588526,2,3,5,stable_like
18.139995468364145,3,2,5,stable_like
18.293933425347664,4,2,6,stable_like
18.426430255389963,5,1,6,stable_like
18.540659354023,4,2,6,stable_like
18.577734281814234,5,1,6,stable_like
18.906976872619087,4,2,6,stable_like
19.268691144559885,3,3,6,stable_like
19.31780487055103,4,2,6,stable_like
19.394818449028225,3,3,6,stable_like
19.612188567028344,2,4,6,stable_like
19.831263556991043,3,3,6,stable_like
20.006324228085717,4,3,7,stable_like
20.098160852865135,5,2,7,stable_like
20.15449404998429,6,1,7,stable_like
20.177801480365765,5,2,7,stable_like
20.2015066234595,4,3,7,stable_like
20.23761504849677,3,4,7,stable_like
20.25986309823845,2,5,7,stable_like
20.30186915568007,3,4,7,stable_like
20.326605725783597,2,4,6,stable_like
20.331732736916813,3,3,6,stable_like
20.459822861521612,4,3,7,stable_like
20.848784075429624,5,2,7,stable_like
21.237700988108454,4,3,7,stable_like
21.2468337698994,5,2,7,stable_like
21.255771387472464,4,3,7,stable_like
21.348722035794566,3,4,7,stable_like
21.578230044415193,4,3,7,stable_like
21.602063449473572,3,4,7,stable_like
21.677045302885848,4,3,7,stable_like
21.734124242757854,5,2,7,stable_like
21.857704300830015,4,3,7,stable_like
22.12260196218682,3,4,7,stable_like
22.525079516697947,2,5,7,stable_like
22.721463317653093,3,4,7,stable_like
22.72447896717348,4,3,7,stable_like
23.018062344860613,5,2,7,stable_like
23.2296446230448,4,3,7,stable_like
23.315608899195883,5,2,7,stable_like
23.604611140452565,6,1,7,stable_like
23.78999404462378,5,2,7,stable_like
23.806366432315013,4,3,7,stable_like
23.85622956552893,5,2,7,stable_like
23.937809437119615,4,3,7,stable_like
23.968582319349817,3,4,7,stable_like
23.995449107297322,2,5,7,stable_like
24.093164496733326,3,4,7,stable_like
24.244501072851197,4,3,7,stable_like
24.44663609600547,3,4,7,stable_like
24.784644614605526,4,3,7,stable_like
24.837662497630724,3,4,7,stable_like
24.88452103766311,2,5,7,stable_like
24.99590644719892,3,4,7,stable_like
25.01905098009098,2,5,7,stable_like
25.2526736569283,3,4,7,stable_like
25.46442652446719,2,4,6,stable_like
