bound,theta12,theta21,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,parameter_source,L_1,L_2,L,W_1,W_2,W,Q_boundary,P_hit_boundary
1,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.0,0.0,0.0,0.6666666666666666,0.4,0.5777777777777777,1.0,1.3333333333333333
2,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.3076923076923077,0.20118343195266275,0.5088757396449705,0.8980058722650952,0.923413622038314,0.9064751221895014,0.5522682445759369,1.0543815159199774
3,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.4903169683458732,0.42080088782636305,0.9111178561722363,1.1592615459022615,1.296324957902534,1.2049493499023523,0.30818804312354586,0.3913457350451389
4,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.5980397190769193,0.5876967800033497,1.1857364990802686,1.3613692693282415,1.5456582168941968,1.4227989185168932,0.18887226663893955,0.20940730634686813
5,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.6547004793597174,0.7011838250064255,1.3558843043661428,1.4808908454295309,1.685372867708577,1.5490515195225463,0.12096854877955414,0.11434461730935251
6,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.6828006550621362,0.7752888626234787,1.4580895176856141,1.5392050455230992,1.7525003288525218,1.6103034732995734,0.07873373956192235,0.06442542806239321
7,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.6964469744088335,0.8231201037792115,1.519567078188045,1.5622193692663426,1.7794711683670639,1.6346366356332496,0.05144366689713576,0.037425001152895446
8,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7030836263946447,0.8539454694684825,1.5570290958631268,1.5678801944378868,1.7869489510816268,1.6409031133191334,0.033571741006426195,0.02224366434631623
9,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7063666961601959,0.8738270594084059,1.5801937555686014,1.5662709639966743,1.7861841969190795,1.6395753749708093,0.02183638178810081,0.01342054927155701
10,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.708038662873765,0.8866556135804112,1.594694276454176,1.562360311963292,1.7826660653852844,1.6357955631039562,0.014145208539599309,0.008171918969140475
11,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7089224135221023,0.8949277117301965,1.6038501252523,1.5583080940979892,1.7787939206387609,1.6318033696115797,0.009123744646235908,0.00500291288502602
12,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7094087434327159,0.9002526026735475,1.6096613461062625,1.5548902075743518,1.775456200817355,1.6284122053220194,0.005860129038887614,0.003072238456178201
13,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7096867795164306,0.903671848441649,1.6133586279580794,1.552265794772615,1.7728654933762364,1.6257990276404888,0.0037489078224398117,0.0018897755295612499
14,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7098509256689989,0.9058609904355278,1.6157119161045244,1.5503548260625712,1.770967165849352,1.6238922726581646,0.0023893754082926345,0.0011633835371543558
15,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7099502331679769,0.9072581608879866,1.6172083940559652,1.5490094046168261,1.7696252752556436,1.6225480281630984,0.0015176525458526482,0.000716427876847549
16,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7100113438765889,0.9081470393072067,1.6181583831837967,1.5480837047427045,1.7686995014181675,1.6216223036345254,0.000960933438028963,0.00044118943089003587
17,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7100493591506887,0.9087107928344712,1.6187601519851598,1.5474572928597579,1.7680718486456861,1.620995478121734,0.0006066879256391508,0.0002716434184037455
18,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7100731554654839,0.9090672904444496,1.619140445909932,1.5470386961923257,1.767651849703196,1.6205764140292824,0.0003820302585743911,0.00016720337654049303
19,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7100880969199176,0.9092921060303772,1.619380202950295,1.5467617078405798,1.7673736562439186,1.620299023975026,0.0002399883534174352,0.00010288043831794652
20,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7100974878256124,0.9094335181122627,1.6195310059378776,1.5465798708792822,1.767190894048342,1.620116878602302,0.00015042935184405966,6.327689370367675e-05
21,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7101033884196797,0.9095222591697266,1.6196256475894077,1.5464612796251616,1.7670716348042572,1.61999806468486,9.410353154685318e-05,3.890207874549176e-05
22,3,1,0.6666666666666666,0.3333333333333333,1.5,2.5,1,paper_text_default,0.7101070920828565,0.9095778271504568,1.6196849192333096,1.5463843638616528,1.766994255021775,1.6199209942483601,5.8760120189975905e-05,2.390626555964914e-05
